Datum;Unfaelle mit Alkoholeinfluss;Verunglückte Fußgaenger;Verunglueckte Kinder (unter 15 J);Unfaelle Fahrrad;Unfall Pkw;Getoetete insgesamt;Unfaelle Motorrad/-roller
01.01.2022;197;35;16;73;204;3;12
02.01.2022;50;21;18;51;210;4;14
03.01.2022;53;80;35;120;416;5;1
04.01.2022;42;82;29;106;427;5;2
05.01.2022;47;79;35;135;442;3;4
06.01.2022;66;83;35;242;581;6;14
07.01.2022;56;84;48;97;459;5;3
08.01.2022;118;59;36;109;434;4;5
09.01.2022;104;35;28;34;248;1;5
10.01.2022;66;89;51;216;571;6;4
11.01.2022;55;90;40;162;550;6;4
12.01.2022;46;101;40;127;511;5;8
13.01.2022;57;86;52;173;582;6;8
14.01.2022;95;106;70;192;633;5;9
15.01.2022;138;51;39;91;360;2;5
16.01.2022;96;15;36;59;227;4;3
17.01.2022;45;112;53;163;549;5;5
18.01.2022;48;82;52;179;517;7;5
19.01.2022;46;105;47;166;518;3;3
20.01.2022;59;79;66;172;729;3;8
21.01.2022;87;114;60;159;618;1;5
22.01.2022;141;42;26;86;343;8;5
23.01.2022;106;22;16;50;206;4;2
24.01.2022;54;90;44;161;483;5;13
25.01.2022;56;77;47;158;456;9;4
26.01.2022;51;65;42;146;461;4;8
27.01.2022;68;96;35;144;530;7;6
28.01.2022;79;85;72;160;577;8;14
29.01.2022;152;51;29;86;358;8;9
30.01.2022;122;25;21;52;208;3;14
31.01.2022;67;110;54;151;637;5;4
01.02.2022;55;100;30;126;545;3;5
02.02.2022;62;77;48;170;500;3;10
03.02.2022;77;79;45;177;532;4;8
04.02.2022;76;90;49;150;535;6;4
05.02.2022;160;59;48;109;411;5;17
06.02.2022;122;29;13;30;230;3;1
07.02.2022;56;90;61;142;609;2;12
08.02.2022;48;80;48;144;482;7;7
09.02.2022;65;66;45;197;499;11;13
10.02.2022;72;89;48;152;523;7;5
11.02.2022;95;90;54;168;591;6;15
12.02.2022;177;54;47;129;424;6;14
13.02.2022;112;27;36;109;276;3;37
14.02.2022;57;60;44;169;508;3;9
15.02.2022;45;65;47;175;503;4;13
16.02.2022;58;94;44;159;542;5;1
17.02.2022;72;68;30;93;470;5;9
18.02.2022;85;78;39;132;527;8;6
19.02.2022;146;59;55;85;381;8;14
20.02.2022;110;21;23;38;222;3;4
21.02.2022;35;94;64;125;561;5;8
22.02.2022;56;71;47;139;497;5;11
23.02.2022;61;109;68;251;668;4;27
24.02.2022;69;93;42;152;497;9;13
25.02.2022;108;60;55;159;540;10;12
26.02.2022;184;64;58;143;445;2;25
27.02.2022;144;45;38;105;327;6;38
28.02.2022;69;82;61;201;575;12;26
01.03.2022;57;85;57;181;475;4;36
02.03.2022;61;87;75;180;494;6;29
03.03.2022;45;102;65;217;604;5;28
04.03.2022;95;68;55;208;593;4;34
05.03.2022;146;65;31;127;416;12;39
06.03.2022;123;34;22;55;215;4;20
07.03.2022;45;76;67;193;552;7;16
08.03.2022;63;85;65;216;603;8;35
09.03.2022;65;96;64;254;607;8;29
10.03.2022;71;90;72;257;606;9;42
11.03.2022;95;75;79;234;625;9;49
12.03.2022;144;52;42;175;392;4;59
13.03.2022;147;36;37;170;328;9;73
14.03.2022;67;65;74;202;531;5;26
15.03.2022;63;72;46;189;517;5;11
16.03.2022;56;82;73;237;571;3;26
17.03.2022;55;65;48;186;437;7;22
18.03.2022;101;83;94;270;637;11;62
19.03.2022;172;51;47;170;427;3;56
20.03.2022;138;38;50;163;318;7;68
21.03.2022;54;73;78;259;571;2;32
22.03.2022;57;84;96;334;695;5;53
23.03.2022;74;61;86;326;645;10;70
24.03.2022;62;81;95;339;643;5;72
25.03.2022;109;78;84;350;697;10;69
26.03.2022;177;65;56;265;505;10;96
27.03.2022;185;42;60;238;382;9;97
28.03.2022;55;84;83;332;660;5;45
